fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
Sparindex INDEX Lav Risiko KL,DK0060748556,DKK,Balanceret - EUR Lav Risiko Global,Distributing,0.55,4.0,3,Article 8,0.83,2.78,216.0,-0.21,SparInvest,Mixed,Europe
Sparindex INDEX Mellem Risiko KL,DK0060748630,DKK,Balanceret - EUR Moderat Risiko Global,Distributing,0.62,3.0,3,Article 8,0.04,6.43,446.0,-0.01,SparInvest,Mixed,Europe
Sparindex INDEX OMX C25 KL,DK0060442556,DKK,Aktier - Danmark,Distributing,0.3,3.0,4,Article 8,-20.81,30.42,4302.0,0.03,SparInvest,Stocks,Denmark
Sparindex INDEX Stabile Obl. KL A,DK0060057487,DKK,Obligationer - DKK Korte Indenlandske,Distributing,0.19,2.0,2,Article 8,-0.43,-1.92,2526.0,-0.73,SparInvest,Bonds,Denmark
Sparindex INDEX USA Growth KL,DK0010298272,DKK,Aktier - USA Large Cap Growth,Distributing,0.5,4.0,5,Article 8,-13.64,38.52,5801.0,0.46,SparInvest,Stocks,US
Sparindex INDEX USA Small Cap KL,DK0010298355,DKK,Aktier - USA Small Cap,Distributing,0.5,3.0,5,Article 8,-29.9,-12.9,508.0,0.16,SparInvest,Stocks,US
Sparindex INDEX USA Value KL,DK0010298439,DKK,Aktier - USA Large Cap Value,Distributing,0.5,3.0,5,Article 8,-1.91,7.53,560.0,0.59,SparInvest,Stocks,US
Sparinv Danske Aktier KL A,DK0010068006,DKK,Aktier - Danmark,Distributing,1.41,3.0,4,Article 8,-14.02,20.2,436.0,0.08,SparInvest,Stocks,Denmark
Sparinv Korte Obligationer KL A,DK0060105203,DKK,Obligationer - DKK Korte Indenlandske,Distributing,0.24,2.0,2,Article 8,1.62,-0.04,1358.0,-0.57,SparInvest,Bonds,Denmark
Sparinv Lange Obligationer KL A,DK0060105393,DKK,Obligationer - DKK Indenlandske,Distributing,0.44,2.0,2,Article 8,-5.96,-14.05,380.0,-0.55,SparInvest,Bonds,Denmark
Sparinv Mellemlange Obligationer KL A,DK0060105476,DKK,Obligationer - DKK Indenlandske,Distributing,0.38,3.0,2,Article 8,-3.16,-8.97,1442.0,-0.58,SparInvest,Bonds,Denmark
